County,State,FIPS.County.Code,X2006.Prescribing.Rate,Year,County.1,State.1,FIPS.County.Code.1,X2007.Prescribing.Rate,Year.1,County.2,State.2,FIPS.County.Code.2,X2008.Prescribing.Rate,Year.2,County.3,State.3,FIPS.County.Code.3,X2009.Prescribing.Rate,Year.3,County.4,State.4,FIPS.County.Code.4,X2010.Prescribing.Rate,Year.4,County.5,State.5,FIPS.County.Code.5,X2011.Prescribing.Rate,Year.5,County.6,State.6,FIPS.County.Code.6,X2012.Prescribing.Rate,Year.6,County.7,State.7,FIPS.County.Code.7,X2013.Prescribing.Rate,Year.7,County.8,State.8,FIPS.County.Code.8,X2014.Prescribing.Rate,Year.8,County.9,State.9,FIPS.County.Code.9,X2015.Prescribing.Rate,Year.9,County.10,State.10,FIPS.County.Code.10,X2016.Prescribing.Rate,Year.10,County.11,State.11,State.County.FIPS.Code,X2017,Year.11
"Aleutians East, AK",AK,2013,,X2006.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2007.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2008.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2009.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2010.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2011.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2012.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2013.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2014.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2015.Prescribing.Rate,"Aleutians East, AK",AK,2013,,X2016.Prescribing.Rate,ANCHORAGE,AK,2020,59.4,2017
"Aleutians West, AK",AK,2016,,X2006.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2007.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2008.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2009.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2010.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2011.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2012.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2013.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2014.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2015.Prescribing.Rate,"Aleutians West, AK",AK,2016,,X2016.Prescribing.Rate,FAIRBANKS NORTH STAR,AK,2090,42.9,2017
"Anchorage, AK",AK,2020,71.5,X2006.Prescribing.Rate,"Anchorage, AK",AK,2020,75.5,X2007.Prescribing.Rate,"Anchorage, AK",AK,2020,75.6,X2008.Prescribing.Rate,"Anchorage, AK",AK,2020,74.6,X2009.Prescribing.Rate,"Anchorage, AK",AK,2020,75.1,X2010.Prescribing.Rate,"Anchorage, AK",AK,2020,75.4,X2011.Prescribing.Rate,"Anchorage, AK",AK,2020,75.3,X2012.Prescribing.Rate,"Anchorage, AK",AK,2020,68.6,X2013.Prescribing.Rate,"Anchorage, AK",AK,2020,68,X2014.Prescribing.Rate,"Anchorage, AK",AK,2020,68.2,X2015.Prescribing.Rate,"Anchorage, AK",AK,2020,66.3,X2016.Prescribing.Rate,JUNEAU,AK,2110,65.7,2017
"Bethel, AK",AK,2050,,X2006.Prescribing.Rate,"Bethel, AK",AK,2050,,X2007.Prescribing.Rate,"Bethel, AK",AK,2050,,X2008.Prescribing.Rate,"Bethel, AK",AK,2050,,X2009.Prescribing.Rate,"Bethel, AK",AK,2050,,X2010.Prescribing.Rate,"Bethel, AK",AK,2050,,X2011.Prescribing.Rate,"Bethel, AK",AK,2050,,X2012.Prescribing.Rate,"Bethel, AK",AK,2050,,X2013.Prescribing.Rate,"Bethel, AK",AK,2050,,X2014.Prescribing.Rate,"Bethel, AK",AK,2050,,X2015.Prescribing.Rate,"Bethel, AK",AK,2050,,X2016.Prescribing.Rate,KENAI PENINSULA,AK,2122,83,2017
"Bristol Bay, AK",AK,2060,,X2006.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2007.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2008.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2009.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2010.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2011.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2012.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2013.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2014.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2015.Prescribing.Rate,"Bristol Bay, AK",AK,2060,,X2016.Prescribing.Rate,KETCHIKAN GATEWAY,AK,2130,77.4,2017
"Denali, AK",AK,2068,,X2006.Prescribing.Rate,"Denali, AK",AK,2068,,X2007.Prescribing.Rate,"Denali, AK",AK,2068,,X2008.Prescribing.Rate,"Denali, AK",AK,2068,,X2009.Prescribing.Rate,"Denali, AK",AK,2068,,X2010.Prescribing.Rate,"Denali, AK",AK,2068,,X2011.Prescribing.Rate,"Denali, AK",AK,2068,,X2012.Prescribing.Rate,"Denali, AK",AK,2068,,X2013.Prescribing.Rate,"Denali, AK",AK,2068,,X2014.Prescribing.Rate,"Denali, AK",AK,2068,,X2015.Prescribing.Rate,"Denali, AK",AK,2068,,X2016.Prescribing.Rate,KODIAK ISLAND,AK,2150,28.9,2017
"Dillingham, AK",AK,2070,,X2006.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2007.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2008.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2009.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2010.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2011.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2012.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2013.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2014.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2015.Prescribing.Rate,"Dillingham, AK",AK,2070,,X2016.Prescribing.Rate,MATANUSKA SUSITNA,AK,2170,69.3,2017
"Fairbanks North Star, AK",AK,2090,54.7,X2006.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,58.3,X2007.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,58.5,X2008.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,57.1,X2009.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,54.8,X2010.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,58,X2011.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,58.7,X2012.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,53.9,X2013.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,54.3,X2014.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,50.5,X2015.Prescribing.Rate,"Fairbanks North Star, AK",AK,2090,48.4,X2016.Prescribing.Rate,PETERSBURG,AK,2195,63,2017
"Haines, AK",AK,2100,,X2006.Prescribing.Rate,"Haines, AK",AK,2100,,X2007.Prescribing.Rate,"Haines, AK",AK,2100,,X2008.Prescribing.Rate,"Haines, AK",AK,2100,,X2009.Prescribing.Rate,"Haines, AK",AK,2100,,X2010.Prescribing.Rate,"Haines, AK",AK,2100,,X2011.Prescribing.Rate,"Haines, AK",AK,2100,,X2012.Prescribing.Rate,"Haines, AK",AK,2100,,X2013.Prescribing.Rate,"Haines, AK",AK,2100,,X2014.Prescribing.Rate,"Haines, AK",AK,2100,,X2015.Prescribing.Rate,"Haines, AK",AK,2100,,X2016.Prescribing.Rate,PRINCE OF WALES HYDER,AK,2198,38.9,2017
"Hoonah-Angoon, AK",AK,2105,,X2006.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2007.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2008.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2009.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2010.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2011.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2012.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2013.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2014.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2015.Prescribing.Rate,"Hoonah-Angoon, AK",AK,2105,,X2016.Prescribing.Rate,SITKA,AK,2220,7.2,2017
