State,State.ABBR,X2006.Prescribing.Rate,State.1,State.ABBR.1,X2007.Prescribing.Rate,State.2,State.ABBR.2,X2008.Prescribing.Rate,State.3,State.ABBR.3,X2009.Prescribing.Rate,State.4,State.ABBR.4,X2010.Prescribing.Rate,State.5,State.ABBR.5,X2011.Prescribing.Rate,State.6,State.ABBR.6,X2012.Prescribing.Rate,State.7,State.ABBR.7,X2013.Prescribing.Rate,State.8,State.ABBR.8,X2014.Prescribing.Rate,State.9,State.ABBR.9,X2015.Prescribing.Rate,State.10,State.ABBR.10,X2016.Prescribing.Rate,State.11,Abbreviation,X2017
Alaska,AK,63.4,Alaska,AK,66.6,Alaska,AK,68.5,Alaska,AK,67.3,Alaska,AK,68.4,Alaska,AK,68,Alaska,AK,66.8,Alaska,AK,63.7,Alaska,AK,62.7,Alaska,AK,60.8,Alaska,AK,58.9,Alaska,AK,52
Alabama,AL,115.6,Alabama,AL,120.3,Alabama,AL,126.1,Alabama,AL,131.6,Alabama,AL,134.3,Alabama,AL,136.6,Alabama,AL,143.8,Alabama,AL,142.4,Alabama,AL,135.2,Alabama,AL,125,Alabama,AL,121,Alabama,AL,107.2
Arkansas,AR,98.3,Arkansas,AR,108.2,Arkansas,AR,112.1,Arkansas,AR,116,Arkansas,AR,120.8,Arkansas,AR,115.2,Arkansas,AR,121.8,Arkansas,AR,120.9,Arkansas,AR,123.2,Arkansas,AR,117.2,Arkansas,AR,114.6,Arkansas,AR,105.4
Arizona,AZ,74.3,Arizona,AZ,77.8,Arizona,AZ,80.9,Arizona,AZ,84.2,Arizona,AZ,88.5,Arizona,AZ,88.6,Arizona,AZ,85.3,Arizona,AZ,80.4,Arizona,AZ,79.7,Arizona,AZ,75.5,Arizona,AZ,70.2,Arizona,AZ,61.2
California,CA,51,California,CA,53.6,California,CA,55.1,California,CA,55.6,California,CA,55.8,California,CA,55.9,California,CA,56.4,California,CA,54.4,California,CA,52.7,California,CA,47.7,California,CA,44.8,California,CA,39.5
Colorado,CO,62.2,Colorado,CO,65.9,Colorado,CO,67.7,Colorado,CO,69.8,Colorado,CO,72,Colorado,CO,73,Colorado,CO,73.5,Colorado,CO,71.2,Colorado,CO,69.6,Colorado,CO,65.1,Colorado,CO,59.8,Colorado,CO,52.9
Connecticut,CT,64.7,Connecticut,CT,67.5,Connecticut,CT,68.7,Connecticut,CT,68.1,Connecticut,CT,68.6,Connecticut,CT,69.1,Connecticut,CT,69.3,Connecticut,CT,67.4,Connecticut,CT,66,Connecticut,CT,62.3,Connecticut,CT,55.9,Connecticut,CT,48
District of Columbia,DC,31.7,District of Columbia,DC,41.2,District of Columbia,DC,34.5,District of Columbia,DC,34.4,District of Columbia,DC,37.1,District of Columbia,DC,39.8,District of Columbia,DC,40.3,District of Columbia,DC,41.1,District of Columbia,DC,40.1,District of Columbia,DC,35.7,District of Columbia,DC,32.5,District of Columbia,DC,28.5
Delaware,DE,86.6,Delaware,DE,92.3,Delaware,DE,95.4,Delaware,DE,97.5,Delaware,DE,101.1,Delaware,DE,99.7,Delaware,DE,94,Delaware,DE,92.7,Delaware,DE,91,Delaware,DE,84.4,Delaware,DE,79.2,Delaware,DE,68.3
Florida,FL,79.7,Florida,FL,82.2,Florida,FL,84.3,Florida,FL,86.3,Florida,FL,87.6,Florida,FL,83.5,Florida,FL,75.9,Florida,FL,73.5,Florida,FL,71.4,Florida,FL,67.1,Florida,FL,66.6,Florida,FL,60.9
Georgia,GA,79.8,Georgia,GA,82.5,Georgia,GA,86.3,Georgia,GA,88.2,Georgia,GA,90.2,Georgia,GA,88.6,Georgia,GA,89.4,Georgia,GA,86.6,Georgia,GA,83.8,Georgia,GA,79.4,Georgia,GA,77.8,Georgia,GA,70.9
Hawaii,HI,42.3,Hawaii,HI,44.5,Hawaii,HI,46.6,Hawaii,HI,47.8,Hawaii,HI,50.1,Hawaii,HI,50.1,Hawaii,HI,50.4,Hawaii,HI,49.4,Hawaii,HI,47.7,Hawaii,HI,44.3,Hawaii,HI,41.9,Hawaii,HI,37
Iowa,IA,59.3,Iowa,IA,57.1,Iowa,IA,59.1,Iowa,IA,60.4,Iowa,IA,62.3,Iowa,IA,64,Iowa,IA,74.1,Iowa,IA,72.2,Iowa,IA,72.3,Iowa,IA,68.6,Iowa,IA,64,Iowa,IA,56.4
Idaho,ID,75.6,Idaho,ID,78.8,Idaho,ID,82.7,Idaho,ID,85.2,Idaho,ID,88.6,Idaho,ID,91.4,Idaho,ID,92,Idaho,ID,89.2,Idaho,ID,87.4,Idaho,ID,81.9,Idaho,ID,77.6,Idaho,ID,70.3
Illinois,IL,55.6,Illinois,IL,59.2,Illinois,IL,60.2,Illinois,IL,61,Illinois,IL,63.1,Illinois,IL,64.3,Illinois,IL,66.1,Illinois,IL,63.7,Illinois,IL,62.3,Illinois,IL,59.1,Illinois,IL,56.8,Illinois,IL,51.1
Indiana,IN,94.3,Indiana,IN,99.7,Indiana,IN,103.3,Indiana,IN,105.6,Indiana,IN,107.1,Indiana,IN,106.7,Indiana,IN,110.5,Indiana,IN,106.3,Indiana,IN,96.7,Indiana,IN,89.1,Indiana,IN,83.9,Indiana,IN,74.2
Kansas,KS,77.5,Kansas,KS,80.6,Kansas,KS,82.7,Kansas,KS,82.8,Kansas,KS,86.1,Kansas,KS,87.8,Kansas,KS,90.3,Kansas,KS,88.7,Kansas,KS,86.5,Kansas,KS,80.5,Kansas,KS,76.9,Kansas,KS,69.8
Kentucky,KY,122.6,Kentucky,KY,130.8,Kentucky,KY,136.6,Kentucky,KY,135.2,Kentucky,KY,136.5,Kentucky,KY,137,Kentucky,KY,127.9,Kentucky,KY,111.7,Kentucky,KY,110,Kentucky,KY,102.6,Kentucky,KY,97.2,Kentucky,KY,86.8
Louisiana,LA,109.2,Louisiana,LA,110.1,Louisiana,LA,113.7,Louisiana,LA,113,Louisiana,LA,112.6,Louisiana,LA,111.7,Louisiana,LA,113,Louisiana,LA,112.4,Louisiana,LA,108.9,Louisiana,LA,100.4,Louisiana,LA,98.1,Louisiana,LA,89.5
Massachusetts,MA,66,Massachusetts,MA,68.2,Massachusetts,MA,69.2,Massachusetts,MA,68.9,Massachusetts,MA,67.9,Massachusetts,MA,65.9,Massachusetts,MA,65.7,Massachusetts,MA,63,Massachusetts,MA,59.6,Massachusetts,MA,54,Massachusetts,MA,47.1,Massachusetts,MA,40.1
